ID,Brand,Model,ConstructionYearStart,ConstructionYearEnd,TypeConception,LightType,Position,Category,PartNumber,Notes,Source
121,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
122,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","H7","Feu de route","feu_de_route","","","OSRAM CSV Guide"
123,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
124,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
125,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
126,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","PY21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
127,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
128,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
129,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","-","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
130,"ALFA ROMEO","159 Sportwagon (939_)","03/06","11/11","Halogen","6411","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
131,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","H4","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
132,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","H4","Feu de route","feu_de_route","","","OSRAM CSV Guide"
133,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
134,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
135,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","P21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
136,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
137,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
138,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","R5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
139,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","C5W","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
140,"ALFA ROMEO","164 (164_)","01/87","09/98","> 1991","C5W","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
141,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
142,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","HB3","Feu de route","feu_de_route","","","OSRAM CSV Guide"
143,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
144,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","H6W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
145,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
146,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","LED","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
147,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","P21","Feux de stop","feu_stop","","","OSRAM CSV Guide"
148,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
149,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
150,"ALFA ROMEO","166 (936_)","09/98","06/07","Halogen","-","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
151,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","H4","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
152,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","H4","Feu de route","feu_de_route","","","OSRAM CSV Guide"
153,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
154,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
155,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","P21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
156,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
157,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
158,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","C5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
159,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","C5W","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
160,"ALFA ROMEO","33 (907_)","01/90","09/94","Standard","T4W","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
161,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","H4","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
162,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","H4","Feu de route","feu_de_route","","","OSRAM CSV Guide"
163,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","-","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
164,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","W5W","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
165,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","P21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
166,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
167,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","P21W","Feux de stop","feu_stop","","","OSRAM CSV Guide"
168,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","R5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
169,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","C5W","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
170,"ALFA ROMEO","33 Sportwagon (907_)","01/90","09/94","Standard","T4W","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
171,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
172,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","H7","Feu de route","feu_de_route","","","OSRAM CSV Guide"
173,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","LED","Feux antibrouillard","feu_antibrouillard","","","OSRAM CSV Guide"
174,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","LED","Feux de route supplémentaires","feu_route_supplementaire","","","OSRAM CSV Guide"
175,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","PY21W","Clignotant avant voiture","clignotant_avant","","","OSRAM CSV Guide"
176,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","P21W","Clignotant arrière voiture","clignotant_arriere","","","OSRAM CSV Guide"
177,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","LED","Feux de stop","feu_stop","","","OSRAM CSV Guide"
178,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","W5W","Feux de plaque d'immatriculation","feu_plaque","","","OSRAM CSV Guide"
179,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","6411","Éclairage intérieur","eclairage_interieur","","","OSRAM CSV Guide"
180,"ALFA ROMEO","4C (960_)","03/13","Present","Halogen","W5W","Feu de coffre","feu_coffre","","","OSRAM CSV Guide"
181,"ALFA ROMEO","4C SPIDER (960_)","10/14","Present","Halogen","H7","Feu de croisement","feu_de_croisement","","","OSRAM CSV Guide"
182,"ALFA ROMEO","4C SPIDER (960_)","10/14","Present","Halogen","H7","Feu de route","feu_de_route","","","OSRAM CSV Guide"
