Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
RENAULT;CLIO II Box (SB0/1/2_)1.5 dCi;1.9 D, Dti;Diesel;1998-09-01;;;F31;
RENAULT;CLIO III Box (SB_, SR_)1.5 dCi;1.2 16V (BR02, BR0J, BR11, CR02,;Diesel;2010-08-01;2014-12-01;;FL652;
RENAULT;(JM0/1_);1.5 dCi, 1.9 dCi, 2.0 dCi;Diesel;2004-04-01;2008-11-01;F41;FL652;
RENAULT;(JZ0/1_);1.9 dCi, 2.0 dCi;Diesel;2009-02-01;;;F32;
RENAULT;(JZ0/1_);1.5 dCi;Diesel;2009-02-01;;F41;F31;
RENAULT;KANGOO (KW0/1_);1.5 dCi / 110;Diesel;2008-06-01;;F41;F32;
RENAULT;1.5 dCi (KW0A, KW0F);ANGOO / GRAND;Diesel;2008-02-01;;;F31;
KANGOO BE BOP;(KW0/1_);1.5 dCi / 75;Diesel;2009-06-01;;;F31;
KANGOO BE BOP;(FC0/1_);1.5 dCi;Diesel;2001-12-01;;;F31;
KANGOO BE BOP;(FC0/1_);1.2, 1.2 16V, 1.4, 1.6 16V;Petrol;1997-08-01;;;F30;
KANGOO BE BOP;(FC0/1_);1.9 D, D 55 1.9, D 65 1.9;Diesel;1997-08-01;;;F32;
KANGOO BE BOP;(FW0/1_);1.5 dCi / 75 / 85 / 90 / 110;Diesel;2008-02-01;;F41;;
KANGOO BE BOP;LAGUNA I (B56_, 556_)1.9 dCi, 1.9 dTi, 2.2 D, 2.2 dT;Z.E.;Diesel;1993-11-01;2001-03-01;;F32;
LAGUNA II;Grandtour (KG0/1_);1.9 dCi, 2.0 dCi;Diesel;2001-03-01;2007-12-01;;FL652;
LAGUNA III;Grandtour (KT0/1);2.0 dCi;Diesel;2007-10-01;2015-12-01;F41;F32;
LAGUNA III;MASTER II Box (FD);2.5 D, 2.5 dCi 100 / 120, 2.8 dTI, 3.0;Diesel;1998-07-01;2015-12-01;;FL1000;
