Brand;Vehicle;Motorisation;Fuel;Start;End;Battery_AGM;Battery_EFB;Battery_Conventional
CITROËN;C4 Picasso II;1.2 THP 130, 1.6 THP 165, 1.6 VTi 120;Petrole;2013-02-01;;F41;F30;F1
CITROËN;C4 Picasso II;1.6 HDi 90;Diesel;2013-02-01;;F41;;F4
CITROËN;C5 I (DC_);2.0 Hdi;Diesel;2001-03-01;2004-08-01;;F32;F7
CITROËN;C5 I (DC_);1.8 16V, 2.0 16V, 2.0 16V HPi;Petrole;2001-03-01;2004-08-01;;F31;F4
CITROËN;C5 II (RC_);1.6 HDi (RC8HZB);Diesel;2004-09-01;;;F31;F4
CITROËN;C5 II (RC_);2.0 Hdi, 2.2 Hdi;Diesel;2004-09-01;;;F32;F7
CITROËN;C5 III (RD_);2.0 HDI / 140;Diesel;2008-02-01;;;F32;
CITROËN;C5 III (RD_);1.6 HDi 110, 115, 2.0 HDi 150 / BlueHDi 150, 2.0 HDi 165 / 180 / 200;Diesel;2009-04-01;;;F4;
CITROËN;C5 III (RD_);1.6 HDi 110;Diesel;2008-02-01;;;F31;
CITROËN;C5 III Break (RW_);2.0 HDI / 140 / 150 / BlueHDi 150 / 165 / 180, 2.2 Hdi 200, 3.0 Hdi 240;Diesel;2008-02-01;;F41;F32;F7
CITROËN;C5 III Break (RW_);1.6 HDi 110 / 115;Diesel;2008-02-01;;F41;F31;F4
CITROËN;C8 (EA_, EB_);2.0 HDI, 2.0 HDi 135 / 165, 2.2 Hdi;Diesel;2002-07-01;;F41;F32;F7
CITROËN;C-CROSSER (EP_);2.2 HDi;Diesel;2007-02-01;;;FL954;
CITROËN;DS3;1.6 HDi 90 / 110 / 115, 1.6 BlueHDi 120;Diesel;2009-11-01;2015-07-01;F41;F32;F4
CITROËN;DS3;1.2 VTi 82, 1.4 VTi 95, 1.6 Racing, 1.6 THP 155, 1.6 VTi 120;Petrole;2010-04-01;2015-03-01;;F30;F1
CITROËN;DS4;1.6 HDi 110 / 115;Diesel;2011-04-01;2015-07-01;F41;F31;F4
CITROËN;DS4;2.0 HDi / BlueHDi 135, 2.0 HDi 165;Diesel;2011-04-01;2015-07-01;;F32;F7
CITROËN;DS5;1.6 HDi 115 / 135 / 165, 2.0 BlueHDi 180;Diesel;2011-11-01;2015-07-01;F41;F32;
HONDA;CIVIC VIII Hatchback (FN, FK);2.2 CTDi;Diesel;2005-09-01;;;F32;F7
HONDA;CR-V III (RE_);2.2 i-CTDi 4WD, 2.2 i-DTEC 4WD;Diesel;2007-01-01;;;F32;F7
HONDA;JAZZ III (GE_, GG_, GP_, ZA_) | FIT;1.2, 1.3 i;Petrole;2008-07-01;;;;F7
HYUNDAI;GETZ (TB);1.5 CRDi;Diesel;2003-03-01;2009-06-01;;;F7
HYUNDAI;GETZ (TB);1.1, 1.3 i;Petrole;2002-09-01;2009-06-01;;F30;F1
HYUNDAI;i10 (PA);1.0, 1.2;Petrole;2008-01-01;2013-12-01;;;F7
HYUNDAI;i20 (GB, IB);1.2;Petrole;2014-11-01;;;F30;F1
HYUNDAI;i30 (GD);1.6 CRDI;Diesel;2011-12-01;2016-12-01;F41;F32;
HYUNDAI;ix35 (LM, EL, ELH) | TUCSON;1.7 CRDi;Diesel;2010-11-01;;;F42;
HYUNDAI;ix35 (LM, EL, ELH) | TUCSON;2.0 CRDi 4WD;Diesel;2010-01-01;;;FL955;
HYUNDAI;MATRIX (FC);1.5 CRDi, 1.5 CRDi VGT;Diesel;2001-10-01;2010-08-01;;;F7
HYUNDAI;SANTA FÉ I (SM);2.0 CRDi, 2.0 CRDi 4x4;Diesel;2001-08-01;2006-03-01;;FL954;
HYUNDAI;SANTA FÉ II (CM);2.2 CRDi, 2.2 CRDi 4x4, 2.2 CRDi GLS 4x4;Diesel;2006-03-01;2009-12-01;;FL954;
HYUNDAI;TUCSON (JM);2.0 CRDi / All-wheel Drive;Diesel;2004-08-01;2010-03-01;;FL954;
HYUNDAI;TUCSON (TL, TLE);1.7 CRDi;Diesel;2015-06-01;;;F42;
IVECO;DAILY III Box Body / Estate;29 L 12 V, 35 S 9 V,35 C 9 V, 35 C 12 V, 35 S 12 V, 35 S 11 V,35 C 11 V, 35 S 13 V,35 C 13 V, 35 S 15 V, 35 C 15V;Diesel;1999-05-01;2007-07-01;;FL1000;
IVECO;DAILY III Platform/ Chassis;29 L 12, 35 C 10 V , 35 S 10 V, 35 C 12, 35 S 12, 35 S 11, 35 C 11, 35 S 13, 35 S 9, 35 C 9, 50 C 11;Diesel;1999-05-01;2006-04-01;;FL1000;
JEEP;RENEGADE Closed Off-Road Vehicle (BU, B1);1.6 CRD;Diesel;2014-07-01;;;FK508;
KIA;CEE'D SW (ED);1.6 CRDi 90 / 115;Diesel;2007-09-01;2012-12-01;;F32;
KIA;PICANTO (JA);1.0, 1.2;Petrole;2017-03-01;;F40;;
KIA;PICANTO (SA);1.0;Petrole;2004-04-01;;;;F7
KIA;PICANTO (TA);1.0, 1.2;Petrole;2011-05-01;;F40;;
KIA;RIO III (UB);1.2 CVVT;Petrole;2014-11-01;;;F31;F4
KIA;SORENTO I (JC);2.5 CRDi;Diesel;2002-08-01;;;FL955;
